"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38197","test_login_and_project_selection","AllureReports","Wed Apr 23 19:21:47 IST 2025","broken","Wed Apr 23 19:22:26 IST 2025","","Test_firstpage","",""
"Verify all required UI elements exist","254","test_login_page_elements","AllureReports","Tue Apr 22 18:43:28 IST 2025","passed","Tue Apr 22 18:43:28 IST 2025","","Test_livnsense","",""
"Test multiple credentials from CSV","151904","test_login_with_csv","AllureReports","Tue Apr 22 18:43:29 IST 2025","passed","Tue Apr 22 18:46:01 IST 2025","","Test_livnsense","",""
"","20997","Verify successful login and logo visibility","AllureReports","Wed Apr 23 20:39:39 IST 2025","passed","Wed Apr 23 20:40:00 IST 2025","TestAutolivDashboard","Test_firstpage","",""
"","55459","Test project selection functionality","AllureReports","Wed Apr 23 20:40:15 IST 2025","passed","Wed Apr 23 20:41:11 IST 2025","TestAutolivDashboard","Test_firstpage","",""
"","41937","Complete Autoliv Dashboard Sign-Out Test","AllureReports","Thu Apr 24 13:13:11 IST 2025","passed","Thu Apr 24 13:13:53 IST 2025","","Test_first_page","",""
"","44029","Complete Autoliv Dashboard Sign-Out Test","AllureReports","Thu Apr 24 12:29:25 IST 2025","broken","Thu Apr 24 12:30:09 IST 2025","","Test_firstpage","",""
"","60852","Test Login and Sign Out from Autoliv Dashboard","AllureReports","Thu Apr 24 00:32:31 IST 2025","broken","Thu Apr 24 00:33:32 IST 2025","","Test_firstpage","",""
"","53823","Verify username and sign out functionality","AllureReports","Wed Apr 23 20:41:25 IST 2025","failed","Wed Apr 23 20:42:19 IST 2025","TestAutolivDashboard","Test_firstpage","",""
"Test valid credentials enable the sign-in button","544","test_valid_login","AllureReports","Tue Apr 22 18:43:28 IST 2025","passed","Tue Apr 22 18:43:29 IST 2025","","Test_livnsense","",""
"","32004","Verify username and sign out functionality","AllureReports","Thu Apr 24 01:13:16 IST 2025","broken","Thu Apr 24 01:13:48 IST 2025","","Test_firstpage","",""
"","48722","Complete Autoliv Dashboard Test","AllureReports","Thu Apr 24 00:55:02 IST 2025","passed","Thu Apr 24 00:55:51 IST 2025","","Test_firstpage","",""
"","38486","Test Login and Sign Out from Autoliv Dashboard","AllureReports","Wed Apr 23 21:01:35 IST 2025","broken","Wed Apr 23 21:02:14 IST 2025","","Test_firstpage","",""
